speakerA_name,speakerB_name,speakerA-1,speakerB-2,speakerA-3,speakerB-4,speakerA-5
Koh Afuk,Erwin,"Kamu yakin? Anak-anak di toko, suka sama kamu. Kamu bisa jadi bos yang baik.","Kalo Erwin sukses di Singapore, Papa juga yang bangga kan?","Papa nggak butuh kamu sukses diluar negeri, Papa butuhnya kamu disini. Ngurusin apa yang Mama dan Papa bangun dari nol.
","Papa udah janji loh, Pa. Satu bulan. Kalo Erwin nggak suka, Papa nggak akan maksa. Iya kan?
","Papa nggak maksa, Papa cuman..."
Yohan,Erwin,Puas lo?!,Gue salah apa?,"Salah apa? Lo udah ngecewain Papa, tau gak!
","Koh, gua tuh mau di promosikan ke kantor Asia Tenggara. Masa gua tolak, emang gua gila?","Lo egois ya! Lo tuh punya banyak waktu buat mikirin diri lo sendiri! Sekarang mikirin Papa dong. Gua udah percaya ama lo.
"
Erwin,Satpam Rumah Sakit,"Yaudah Koh yang penting,  sekarang kita selametin toko aja.",Toko apa?,Toko Papa saya.,Yang jaga Ayu?,Nggak ada urusannya sama Ayu...
Erwin,Tukang Selfie,"Misi Mbak, misi boleh nanya sebentar, Mbak?

","Penting atau tidak? Kalau tidak penting, mending lain kali saja. Saya mau selfie, saya belum dapat angle yang tepat. ","Biar saya bantuin ya Mbak, biar dapet anglenya. Bisa saya bantu nggak apa-apa kok, biar cepet.","Kau tak paham eksensi selfie? Kalau difoto sama orang lain itu bukan selfie namanya, itu namanya photobox","Eh Mbak, pake kamera depan aja gimana?
"
Tukang Selfie,Erwin,Jadi mau kau apa?,"Saya mau nanya Mbak Anita, asistennya Pak Robert itu nama lengkapnya siapa ya?
","Anita Sofyan. sana, Sana.
","Iya, makasih ya.",Mending saya main angry bird saja.
Yohan,Erwin,Oh si Anita itu Single Mom?,Lihat baju yang dia pakai deh? baju-baju dia yang lain.,"Beda banget sih, ini lebih sopan banget.
","Gue yakin dia tuh baju-bajunya disuruh Pak Robert aja dia sebenernya juga nggak nyaman.
","Dan dia butuh duit buat ngurusin anaknya, makanya dia tetep kerja sama si Robert."
Anita,Joni,Ada apa ya?,"Tidak ada, tidak ada apa-apa sungguh.","Kalau nggak ada, ngapain mencet bel?","Ini ada tiket, Tiket. Maksud saya karcis parkit, saya dapat disitu. Kaka punya kah?
","Oh iya, makasih ya"
Yohan,Amiauw,Koh gimana?,"Tadi sih makannya udah lumayan, kalo kata dokter 2 atau 3 hari udah boleh pulang.",Kokoh istirahat aja.,Makasih ya,"Makasih, ya. Hati-hati Koh."
Erwin,Yohan,Mau teh?,Boleh,Pake gula?,Udah lupa lo?,Nggak pakai
Erwin,Yohan,"Gue udah lama tau, pengen begitu tadi.
","Maksudnya, udah lama pengen ngebius orang, gitu?
","Ya, bukanlah. Maksudnya udah lama pengen melakukan sesuatu berdua sama lo, gitu. Mengenang masa kecil, jaman-jaman gue masih mengidolakan lo gitu","Win, Win. idolain gua, nggak salah lo?","I guess, all boys admire tto their brother ga sih? kayaknya semua emang gitu deh"
"Yohan
",Erwin,"Lo tau nggak kenapa gue pengen banget nerusin toko? Ya gue minta maaf, kesannya gue sirik banget sama lo.
","Iya, nggak apa-apa gue ngerti.
","Awal toko buka itu adalah masa tersulit buat Papa. Untungnya Mama selalu kasih pengertian kalo memang keadaannya lagi sulit. Gue pengen nerusin toko, bukan karna gue sirik sama lo. Tapi itu karna kenangan terakhir Mama yang bisa gue pegang.","Jika itu yang terjadi, kenapa lo gak ngomong
langsung aja terus terang sama papa.
","Iya gue nggak mau maksain entar malah berantem mulu. Biar Papa milih yang terbaik buat dia. Dan dia milih lo, gua nggak apa-apa kok, yang penting papa seneng
"
Natalie,Erwin,"Selama toko itu masih ada, Papa kamu tuh bakal terus
berharap kamu yang nerusin, iya kan?
","Ya, i know","Yaudah kalo kamu udah tau, berarti kamu
sekarang tinggal fokus sama urusan Singapore. Kamu inget, kamu bakalan jadi...Win hei ayolah Win. Ini tuh masa depan kamu, masa depan kita.
",I cant belive this,Believe what?
Erwin,Natalie,"Aku nggak bisa lama-lama, Papa nggak ada yang nungguin.
","I love you, maaf aku egois. Aku yakin kamu pasti tau apa yang paling balik",Emang kamu siap? kalo sampe punya suami koko koko juragan sembako?,Iya,"Emang kamu siap, kalo aku butuh bantuan ditoko? Terus kamu harus mengundurkan diri dari kantor?


"
Erwin,Natalie,"Papa bilang sama aku, toko itu mau dia kasih ke Yohan. Jadi dengan sangat terpaksa, aku harus tetep ke Singapore.


",What? Rese banget sih kamu,"Padahal aku udah ngebanyangin, pas banget kayaknya kamu pake daster, gitu nimbang beras","Iya terus, terus",Timbang gula. Cici beli telor 3 kg sama terigu 2 karung
Ayu,Naryo,Naryo,Iya mbak?,"Ini kok toplesnya, udah pada kebuka semua?","Loh kan aku cobain satu-satu Mbak, katanya boleh tester?
","Tapi maksudnya tester itu satu toples aja, Naryo.

"
Saipul,Naryo,"Itu mah maunya lo gembul.
",Heh.,Apa?,"Tukang roti jangan sok tau soal kue, ya.
","Kenapa orang sama-sama tepung, bedanya gue gak di gerobak doang.
"
Ojak ,Yadi,Lo ngefans sama Karmen ya?,Iya,Udah pernah ketemu?,Belom sih,Gue doain biar cepet ketemu
Thea,Rangga,"Mas, mas",Iya?,Mau ke rumah Ibu jam berapa?,"Lihat nanti. Aku sedang dapat ide, tanggung.
","Ya sudah, jangan keasyikan ya"
Tante Esti,Ibu Rahmi Sutanto,"Happy 65, Mbakku!","Aduh, kok repot-repot lagi",Ini kuenya,Terima kasih ya tumpengnya,Tidak repott
Rahmi Sutanto,Tante Esti,Kukira kau tidak bisa datang,"Tentu saja aku datang. Masa Mbak ulang tahun, aku tidak datang? Tidak mungkin sekali",Kau sibuknya mengalahkan Ibu presiden,"Oh jangan begitu. Mbak, tapi aku minta maaf ya","Tuh, benar kan?"
Kevin,Ranika,Maaf kamu jadi lembur juga ya.,"Tidak apa-apa, Mas. Mas Kevin, tenang saja. Cakupan marketing-nya luas, produknya juga sudah bagus. Kompetitor memang sudah lebih dulu rilisnya. Bisa.
","Kamu, di sini ada restoran korean barbeque. Kamu tau?","Iya, di deket sini kan?","Iya, lima menit"
Ranika,Hening,"Bagaimana kuliahmu, Dik?",Baik,"Sudah selesai semuanya? Yang kemarin harus dibayar sudah selesai juga?
",Sudah.,"Sudah, ya kamu ingat-ingat saja kuliahnya harus cepat selesai biar kerjaannya lancar ya? biar jelas."
Rania,Ranika,"Lagi pula, kau juga, Mbak. Kenapa kau harus bicara seperti itu? Begini ya Mbak, gajiku saja mungkin juga lebih besar daripada gaji Mbak.","Oh ya? Oh, jadi gajimu lebih besar daripada gaji Mbak? Kalau begitu, mulai bulan depan kau saja yang bayar bulanan."," Aku juga tidak masalah kok, Mbak. Mbak memangnya berpikir selama ini aku tidak kooperatif ya? Memang selama ini aku tidak pernah bantu?",Hah? Bantu keluarga?,"Aku bantu, Mbak. Tapi aku tidak seperti Mbak yang harus dikasih tahu. Semua orang harus tahu.

"
Ibu Rahmi Sutanto,Rania,"Sayang, ini ulang tahun Ibu, kan? Kita baru mau makan bersama, baru kumpul. Oke?","Ayo, sini, Bu. Ayo, Bu. Sudah. Lupakan, Bu. Ayo kita makan. Aku juga belum beli kado lo buat Ibu.
","Tidak apa-apa, Ibu senang anak-anak kumpul dan rukun. Ya? Sekarang makan, kasihan lo Tante Esti bawa tumpeng berat-berat ",Kita pokoknya makan.,Iya
Thea,Rangga,"Sudah, Mas. Omongan Mbak Nika tidak usah dipikirkan.
Kamu pusing sendiri memikirkan dia.",Kamu..bahagia?,"Sudah malam ini, Mas. Ayo tidur",Kamu kecewa ya sama aku?,"Kamu termakan omongan Mbak Nika. Omongan Mbak Nika jangan kamu masukkan ke dalam hati, dia cuma lagi emosi. 
"
Ranika,Hening,Kamu beneran gabisa dek?,"Mbak, kalo aku bisa masa iya aku nggak mau nemenin Ibu? Setiap hari siapa yang nemenin Ibu disini?","Dek, please","Mbak, kamu sekali-sekali minta izin. Kamu nggak pernah minta izin, dibolehin pasti",Nggak pernah izin? yang bener aja kamu bilang aku gapernah izin. Kamu tuh gimana sih.
Dokter,Ibu Rahmi Sutanto,"Bu Rahmi, vertigo ibu ini nggak ringan loh",Enggak ringan?,"Iya, jadi kalau Ibu tidak memperhatikannya
dengan baik, ini bisa berbahaya untuk Ibu Rahmi. Jadi, nanti kalau terasa berat,
Ibu Rahmi harus tidur. Ya? ","Nah, itu problem juga. Aku suka susah tidur belakangan ini.
","Jadi, dan satu lagi, Bu tolong diusahakan sekali kalau berkegiatan jangan sendirian ya? Di luar ada yang antar kan?

"
Rania,Keysha,"Kamu siapa namanya? dari tadi ngeliatin aku terus. Kenalan dulu dong, aku Rania.",Keysha,Keysha namanya? cantik banget kaya mukanya.,"Kak Rania, Putri Sherry ya?","Iya, kok tau? kamu pernah liat iklan aku ya?"
Rania,Ranika,Mbak Rania kok lo bisa ada di sini?,Ini kantor gue,"Oh ini kantor Mbak, tempat castingnya di mana?","Lantai 27, Foxy kan?",Iya
Ibu Rahmi Sutanto,Tante Esti,"Boleh tidak aku jujur kepadamu?
",Tentu saja boleh.,"Aku tidak bisa menyampaikan ini sama anak-anak. Aku tidak mau nanti anak-anak jadi kepikiran

","Ada apa, Mbak?",Aku ingin sekali ke Pekalongan
Abraham Samad,Budi Setyarso,Itu apa? kayak Iklan advertorial kah?,Nah iklan advertorial yang membantah temuan Tempo gitu,Itu bisa?,Waktu itu bisa,Oke
Abraham Samad,Budi Setyarso,Mengevaluasi?,"Mnegevaluasi biar kejadian serupa tidak terulang gitu. Sehingga ekrannya terbit, demo lah di dalam kantor gitu. Jadi betul-betul...",Redaksi yang mendemo perusahaan?,"Demo, demo perusahaan. Demo perusahaan manajemen gitu ",Oke
Budi Setyarso,Abraham Samad,"Jadi sekali lagi redaksi itu bukan asal kritis ya, tapi memang kita basisnya adalah temuan-temuan.",Investigasi ya,"Investigasi. Jadi kalau ada orang yang ngasih data ke kita itu udah nggak otomatis langsung dimuat. Tapi ada proses verifikasi panjang. Sehingga kita yakin bahwa yang kita keluarkan itu adalah produk jurnalistik yang...
",Akuntabel,"Akuntabel, mendekati kenyataan. Betapapun kita juga selalu menyisakan ruang. Kalau keliru ya kita harus koreksi.
"
Abraham Samad,Budi Setyarso,"Jadi saya bisa simpulkan Mas Budi, ternyata Tempo ini sudah membangun sebuah sistem yang rapi ya.","Iyap, sistem yang rapi",Sehingga apapun yang terjadi tetap kebijakannya seperti itu ya.,Iya,"Jadi bekerja secara sistem, bukan personal ya."
Abraham Samad,Budi Setyarso,"Dan inilah yang menurut saya, sehingga masyarakat itu betul-betul masih menganggap ada satu media nih namanya Tempo yang masih betul-betul bisa diharapkan independensinya ya.
",Mudah-mudahan ya,"Ini dukungan nih yang ke saya ya, untuk disampaikan bahwa kenapa sampai hari ini orang memberikan dukungan yang kuat kepada Tempo karena trust, karena kepercayaan. Karena rakyatnya ini apa ya, gerbang terakhir kebebasan pers.
 
",Semoga ya,"Ya, kebebasan pers"
Budi Setyarso,Abraham Samad,"Jadi semua harus menyesuaikan gitu. Karena kalau kita hanya bertahan di media cetak betapapun informasinya penting itu sampainya kepada publik terbatas kan.
",Enggak meluas,Enggak meluas. Sehingga kita perlu memperkuat...,Media sosial,Digitalnya gitu
Budi Setyarso,Abraham Samad,"Karena kalau dari struktur perusahaan Tempo itu kan sebagian besar gitu ya saham Tempo itu dimiliki oleh karyawan. Melalui dua yayasan yang yayasan 21 Juni.
",Oke,Ini dibangun waktu Tempo di Bredal tanggal 21 Juni tahun 94.,Oke,"Waktu di Bredal itu, sama yayasan karyawan. Nah ini, ini majority shareholdernya Tempo itu gitu yang lainnya ada beberapa yang kecil-kecil gitu. Dan memang kita sengaja agar tidak ada yang majority biar mereka tidak bisa juga intervensi kebijakan redaksi gitu.
"
Abraham Samad,Budi Setyarso,"Walaupun tadi ada disclaimer, analisis nih. Kira-kira serangan Tempo kali ini ya. Kepala babi dan tikus itu, itu kira-kira karena apa?","Kita coba, memang ada keinginan kami untuk melakukan investigasi ke arah sana gitu ya. Ya tentu ini coba kita review",Ini kan Cica personil bocor halus kan?,"Iya, bocor halus. Bocor halus itu sebenarnya satu podcast yang dipakai memang untuk menceritakan temuan Tempo dalam setiap minggu gitu. Dan itu hasilnya kemudian ditaruh dalam cover story-nya Tempo gitu.
","Jadi , bocor halus itu semacam majalah visual ya?"
Abraham Samad,Budi Setyarso,Yang jelas serangan selalu diarahkan ke Tempo dan personil Bocor Halus,Akhir-akhir ini memang iya. Karena Bocor Halus itu kan kayak semacam outlet kita yang paling populer,Iya,Tayang jam 11 hari Sabtu dan itu biasanya banyak orang yang nunggu gitu,Iya
Budi Setyarso,Abraham Samad,Jadi misalnya membanjiri website Tempo dengan visitor yang tapi di-create sama mesin gitu.,Robot-robot,Ya robot. Jadi tujuannya apa? ya biar server Tenpo down gitu. Itu berkali-kali dilakukan gitu,Iya,"Atau Atau serangan-serangan kepada pribadi juga lumayan sering di media sosial. Misalnya pengambilalihan email gitu-gitu ya.
"
Ayah Baron,Ibu Baron,Apa sih ini?,Perkemahan antarcabang se-Kalimantan Timur. Hmm? Ini jauh lebih bagus daripada Baron ke Jakarta Wi.,Iya. Bener.,"Kalau Baron ikut ini, pulang dari sana, dia bisa dapat sesuatu yang bermanfaat.",Iya. Kamu sudah makan belum?
Dul,Baron,"Hei, Ron. Lagi apa?",Hei Dul. Lagi pada ngumpul ya?,Ron. Kemarin ada pameran RC dari Jepang,Ha? Pameran? Dari Jepang? Serius?,"Iya, untuk apa gue bohong. Ron nanti pamerannya mampir ke Balikpapan. Nah, gue titip sparepart ya? Soalnya kemarin gue kehabisan."
Baron,Dul,"Eh...Dul, gue nggak jadi balik ke Jakarta.","Apa? Maksud lu? Pertandingan kita bagaimana, Ron?",Gue disuruh ikut Pramuka sama Bokap dan Nyokap.,"Ah, serius? Ikut Pramuka? Ah, yang bener Ron?","Iya, entahlah. Gue malas cerita. Nanti pulsa lu habis lagi. Jangan lupa surel"
Sindai,Aldi,Kau senang sama Sandra?,Kau kenal dia?,Teman sekelasku. Kenapa?,Bisa kau kenalkan aku padanya? Sudah baik rambutnya bagus.,"Kalian tahu? Di dalam hutan itu ada Batutut. Dia akan marah, kalau ada yang mengganggu hutan."
Rusdi,Sindai,Kenapa kamu sendirian?,Aku lelah dengan anak-anak manja itu. Aku mau pulang saja.,"Terus, bagaimana caranya kamu bisa pisah dari regu?","Aku bilang mau buang aur, terus pergi.","Bagaimana ini? Peraturannya, kan putra dan putri ngga boleh dicampur."
Baron,Aldi,Gue pembalap RC. Bukan Pramuka,Ron. Aku ikut kau. Sandra lama-lama membuatku bosan. Mendingan aku pulang.,Enak saja. Sudah membongkar rahasia gue sekarang mau ikut.,"Tapi, kau nggak tahu Balikpapan kan? Aku tahu jalan. Jadi, kau bisa lebih cepat sampai tujuan.","Oke. Tapi habis itu, kita berpisah."
Rusdi,Baron,"Ron, kamu inget kan ayah dan ibu kamu senang sekali kamu ikut perkemahan?",Itu dia. Mereka yang senang bukan gue.,"Tapi waktu kita menang kamu senang. Buku jurnalku juga bilang, bahwa kita harus jadi Pramuka yang terbaik!","Nggak harus, dan nggak semua ada di buku jurnal lu Rus.",Harus dan ada!
Mama Salma,Salma,Salma!,"Iya, ma?","Sini! Ini, sudah biar mama aja yang bawa.","Enggak, ma. Biar Salma aja","Berat neng. Itu, kamu bawa yang itu."
Mama Salma,Salma,"Aduh, kenapa sih, si putih ngambek sekarang?","Serius banget ma, kaya ngerti mesin aja?","Gini neng, Ayo. Kamu masukin lagi barang-barang kamu. Masukin ke koper ya? Kita pulang.","Ma, Salma tuh bentar lagi 20 tahun.","Eh, tapi kamu kan perempuan. Kalo kenapa-kenapa gimana? Sudah, kita PP aja. "
Rahma,Mama Salma,Halo Tante!,Astaghfirullah. Kamu siapa ya?,"Rahma Tan. Ya ampun, hebih banget sih?","Bisa dibuka dulu gak ya helmnya? Nah, gitu.","Apa kabar tan? Pokoknya tante jangan khawatir. Rahma sama Salma kan kamarnya sebelahan. jadi, kalau butuh apa-apa Rahma siap anterin Salma pulang ke rumah."
Deni,Nathan,"Eh, Tahn! Lo udah ngerjain tugas mekanika fluida belum?","Gue belum, Den. Lo udah belum?","Sama, Nat. Gue juga.",Terus gimana nih?,"Tapi masih ada 24 jam lagi sih buat ngumpulin. Masih bisa gak, ya?"
Salma,Nathan,Ya! Menang.,"Enggak. Enggak adil, keganggu sama lagu. Mbak, boleh ganti lagunya gak? Lagu religi, biar adem dikit ya hawanya. ","Ah, selalu deh gitu Nat. Lagu itu salah apa sih sama kamu?","Ya, lagunya sih gak salah. Musisinya aja nyebelin. Sok puitis.","Ih, dia memang puitis kok. Namanya aja Gema Senja."
Nathan,Salma,Sok misterius juga lagi.,"Nat, dia tuh sengaja gak munculin dirinya. Karena menurut dia, pesan yang dia mau sampaiin itu lebih penting daripada dirinya sendiri.",Pesan? Lagu gitu pesan?,"Kamu aja tahu Nat, yang gak coba bener-bener dengerin. Gagasan dia itu bisa mengubah dunia. Mengubah generasi.","Sal, mengubah dunia itu turun ke jalan, Persoalan nyata ada di jalanan."
Nathan,Salma,Ada yang salah sama omonganku? Aku meninggung kamu ya?,"Jadi keinget soal demo kamu besok. Nat. Aku pernah gak, melarang kamu buat turun ke jalan? Besok jangan dulu ya?","Ya, masa aku diam aja sih Sal? Sementara temna-teman aku turun ke jalan, berjuang?","Ya, tapi kenapa harus demo sih Nat? Gak bisa lewat medsos? Lewat petisi misalnya?","Memang petisi bisa bikin kita ngerasain panas keringat buruh, atau sakit hati suku-suku adat yang bakal digusur daerahnya? Sal, aku bakal baik-baik aja."
Nathan,Salma,"Aku janji, ketampananku pasti terjaga.",Nat! Pintu kosan!,"Oh , ya. Parkir dimana?","Oh, di sana. Duh... Aku gak ada kunci lagi.",Ini kosan apa penjara? Jam sembilan sudah tutup
Nathan,Salma,Tunggu sebentar Sal. ,Kenapa senyum-senyum?,Jadi inget pertama kali ketemu.,"Pulang gih. Makasi, ya.",Ya.
Teman Salma,Salma,"Sal, lo lagi ada masalah?","Enggak.Enggak, kok. Klub Bumi Syair kan?",Ya,Gue daftar,Serius Sal? Syarat masuknya katanya susah ya?
Ayah Nathan,Salma,Salma.,Om,Lihat Nathan?,Belum,Astagfirullahaladzim. Dimana anak itu?
Ayah Nathan,Nathan,"Astaghfirullahaladzim. Kepala kamu kenapa, Nak?",Santai Pa. Cuma lecet kecil,"Santai gimana? Adik kami, Daniel nangis di rumah, khawatir sama kamu.",Nathan kan gak berantem. Nathan cuma...,"Kamu kapan mau sadar? Banyak orang sayang sama kamu, khawatir sama kamu."
Nathan,Ayah Nathan,Masa Nathan gak boleh berjuang buat negara?,Bukan begini caranya Nathan!,"Ya, terus gimana?","Asta...Obati luka kamu, habis ini pulang oke? Salma, tolong kamu ngomong sama dia biar dia paham.",Terus harus gimana pa?
Nathan,Salma,"Makasih Salma. Harusnya dibalas, ""Sama-sama, Nathan."" Benar ya kata pepatah...","Kamu tuh memang bebal, atau sudah gak peduli sih Nat?","Sal! Eh. Kalau semua orang main aman, mungkin sekarang undang-undang pro koruptor sudah disahin di parlemen. He. Banyak orang keinjek sejak lama, tapi kamu sama papa cuma permasalahin lecet kecil. ","Hari ini memang cuma lecet kecil, Nat. Tapi kalo kamu terus kaya gini bukan gak mungkin kamu bisa ninggalin aku, papa kamu, kita semua. Nat, ini tuh zaman digital","Enggak semua orang bisa nulis kaya kamu, Salma! Gak semua harus berjuang dengan cara yang sama kayak kamu."
Afkar,Salma,"Salma? Dari sini, gue gak sengaja denger puisi yang lo baca tadi.","Ya. Memang saya tahu, puisinya kurang subtil, terlalu lembut, dan...kaya...","Kaya banget, banget. ","Maaf kak. Saya gak alergi kritik sih, cuma...sekarang sudah kenyang banget.","Tapi kena buat gue. Ya memang secara teknis berantakan, tapi puisi lo tulus."
Afkar,Salma,"Sejak gue pegang Bumi Syair, gue selalu bilang sama anak-anak, ""Jangan terobsesi sama yang eksklusif."" Cuma masih banyak aja anak-anak lama yang lupa kali sama omongan gue. Jangan diambil hati ya? Boleh gue minta puiainya?",Buat?,"Ah, proyek amatir. Proyek gue sih.","Oh, proyek apa ya kak?",Nanti juga lo tahu.Boleh? Itu juga kalo lo berkenan.
Afkar,Salma,Selamat datang di Bumi Syair Salma.,Ha? Beneran kak?,Selamat datang.,"Makasih banyak kak. Maaf, kak siapa?",Afkar
Mama Salma,Salma,"Salma. Mama gak ketemu seminggu berasa seabad, tahu.",Salma asam,Enggak ih.,Mama kangen tahu. Seminggu di kosan gak ada masalah kan?,"Enggak, ma. Paling juga cuma masalah kecoak di tempat cuci piring. "
Mama Salma,Salma,"Tadi kelihatannya break, sekarang ketawa-ketawa. Kedengeran sampai dalam tahu.","Ma, itu mukanya.",Apa? Jangan berisik ya? Gak enak sama tetangga.,"Ma, ini.",Ini foto mama? Apa penampakan?
Nathan,Salma,Aneh.,Mama memang kalo marah suka kayak gitu.,"Enggak, maksudnya kamu yang aneh. Kalo marah bukannya bikin kesel. Malah bikin tambah sayang. Curang banget.",Mulai deh.,"Eh...Aku juga punya permintaan aneh. Jalan yuk, besok?"
Rio,Nathan,Murah lo cerah banget Nat. Kayak habis pake perawatan kulit.,Yoi. Si tampan harus menerangi si cantik malam ini.,Sudah baikan?,"Ya, setengah-setengah, lah. Kaya yang lo bilang sih, gue harus bikin Salma gak siap kehilangan gue.","Asyik, itu dia. "
Nathan,Rebecca,Pelecehan seksual?,"Ya. Dia temen sekampus lo, Nat. Dia juga sekelas sama lo.",Zanna? Zanna?,Nat. Nat!,"Zan! Kasih tahu gue siapa orangnya, Zan."
Rebecca,Nathan,"Nathan, gak boleh kaya gitu dong ah! Ngomong sama dia itu harus pelan-pelan Nat. Enggak kayak gitu caranya! Dan satu hal. Enggak boleh ada satu orang pun yang tahu soal masalah ini.","Sudah Re, kasih tahu ke gue siapa nama orangnya. Langsung aja!",Rio. Rio Darmawan.,"Enggak. Enggak mungkin, Re.",Kenapa gak mungkin?
Rebecca,Nathan,"Gue minta tolong Nat, sama lo. Bantu Zanna kayak dulu lo bantuin gue. Tolongin gue selametin Zana dari traumanya, Nat.","Ya, kalo itu benar kenapa dia gak lapor coba? Ha","Ya, karena dia perempuan Nat.",Terus kenapa kalau dia perempuan?,"Nat, perempuan itu masalah baju aja dipermasalahin. Ini apa lagi soal..."
Salma,Nathan,"Nat, apaan sih? Ini cuma boneka.","Sal, sebelum aku dapetin apa yang kamu mau, aku bakal perjuangin buat kamu. Bintang pun aku dapetin buat kamu Sal.",Memangnya sampai menyentuh langit?,Oke. Samudra. Aku bakal nyelam buat kamu atau sama kamu. ,"Ayo, ah. "
Salma,Nathan,"Nat, tolong beliin minum dong.",Eh...Aku antre di sini aja deh bareng kamu. Ya?,"Nanti kalau kamu atau aku kesedak gimana? Lagian cuma disitu tuh. Ya sudah, kamu yang antre, aku yang beli, ya.","Tunggu. Ya sudah, aku aja",Makasih ya. 
Nathan,Salma,"Aku merasa gagal melindungi kamu, Sal.","Ini bukan salah kamu. Aku masih bisa, Nat, jaga diri. Kalau ada apa-apa, aku masih berani buat ngomong. Tapi ada sebagian perempuan yang....Mereka tuh gak berani, dan gak seberuntung aku.",Memang ada gitu? Yang diapa-apain diam aja?,Banyak Nat,Kenapa?
Salma,Nathan,Nat. Ini bukan salah kamu.,Enggak. Aku merasa lega. Anak-anakku nanti bakal dapat ibu yang tangguh.,"Sudah, aku masuk dulu.",Ya.,Makasih.
Deni,Nathan,"Nat, Rio cuma difitnah doang. Ya ujung-ujungnya Zanna cuma pengin meras dia doang. Lo ngapain sih permasalahin ke dekanat?",Lo percaya sama dia?,"Nat, kalo dekanat lihat anak-anak himpunan ada masalah, semua acara kita tahun ini bakal dibatalkan. Lo jangan mikir diri sendiri lah.",Kalian yang mikirin diri sendiri! Zanna juga anak mesin! Satu angkatan sama kita!,"Kita sudah satu almamater dari SMP, gak lucu banget ribur gara-gara ini doang!"
Rebecca,Nathan,"Berapa kali sih Nat, gue harus bilang ke lo? Jangan sebarin ini ke orang lain! Bokapnya aja gak tahu masalah anaknya.",Oke. Gue minta maaf. Gue kebawa emosi sama Rio kemarin. Gue juga...,"Lo tahu gak sih? Dengan lo kayak gini, lo ini memberikan alasan supaya dia itu tetap diam.","Ya gue tahu. Gue minta maaf, Re.","Bilang ke gue, siapa lagi yang tahu soal ini?"
Bu Dewi,Nathan,Mudah-mudahan cuma saya.,Bu Dewi.,Nathan.,"Re, ini Bu Dewi. Wali kelas gue sama Zanna. Dia bakal bantu kita bawa ini ke dekan.",Boleh saya ketemu dengan Zanna?
Rio,Zanna,Mau kemana Zan?,Kak Rio. Mau balik.,Gue anterin ya.,"Enggak usah, kak. Gue bisa pulang sendiri kok.","Enggak apa-apa. Lagian juga, kalo ada peserta yang kenapa-kenapa, yang disalahin pasti...ketuanya."
Salma,Rahma,"Ma. Lo pernah gak sih... merasa kayak cowok lo tuh ada, tapi gak ada gitu?",Bukannya memang lo yang pengin dia jaga jarak dulu ya?,"Ya, sih. Tapi kenapa dia ajak gue jalan terus sama kasih perhatian?","Sal, bukannya Nathan memang orangnya kayak gitu? Ih, lo kenapa sih?","Kadang tuh gue mikir, Ma. Apa jangan-jangan dia mau mutusin gue ya? Tapi gak tega."
Afkar,Salma,Hbais ini ke mana Sal?,"Balik sih kak, ke kosan.","Mau gak, ngopi dekat mal sini?",Boleh sih. Searah juga kayanya sama bus kampus.,Oke.
Salma,Afkar,"Gema Senja itu awalnya gimana, kak?","Hobi, dulu iseng-iseng anak SMA. Cuma waktu itu gue pemalu, jadi gue anonimin. Sebelum lo tahu Gema Senja itu gue, lo ngebayanginnya Gema Senja kayak apa, Sal?",Enggak pernaj ngebayangin sih kak.,Masa?,"Gue...lebih fokus sama karya kakak sih, daripada Gema Senjanya"
Afkar,Salma,Kayak gimana tuh?,"Misalnya, gue, suka lihat di media sosial kayak orang-orang nge-twir kalo karya kakak tuh nyembuhin stres mereka lah, terus bikin mereka termotivasi, bahagia, banyak sih kak.",Tapi kalo...dampaknya buat hifup lo sendiri?,"Waktu itu, kalau gak ada lagu ""Teman Perjalanan,"" gue bisa makin stres sih kak, gara-gara ditolak kampus kita tiga kali","Ya, tapi sekarang sudah keterima dong."
Afkar ,Salma,"Ya... Tapi lo sekarang sudah tahu Sal, Gema Senja itu siapa.",Memangnya kenoa kak?,"Gini, Gema Senja itu... lebih kuat kalo anonim. Ini tuh lebih mentingin soal karya. Tentang ide, seperti aktivisme digital.","Setuu banget kak. Setuju banget. Menurut gue juga kayak gitu sih. Kayak sekarang tuh bukan zamannya lagi kita turun ke jalan, demo. Tapi perubahan itu datangnya dari gagasan.","Ya, kan?"
Afkar,Salma,Gimana Bumi Syair? Sudah ketemu teman-teman yang cocok belum?,"Ya, sudah. Banyak sih, dan belajar banyak juga dari mereka.",Keren. Aku suka lo puisi yang pertama kali lo bawain. Aku beringin yang menyejuk...,"Meneduhkan. Ya, makasih lo, kak. Maaf banget nih jadi ngerepotin.","Gak apa-apa, santai."
Afkar,Salma,Kosan gue deket sini.,"Oh ya? Ya sudah, kalo gitu...gue duluan",Oke,"Makasih banyak, ya kak.",Sama-sama Sal
Afkar,Salma,Sal? Gue suka sama lo. Ada pertanyaan?,Kita kan baru kenal kak?,"Terus kenapa? Gue cocok sama puisi-puisi lo, Sal. Sama obrolan kita, dan yang terpenting lo juga bisa berjuang untuk diri lo sendiri.","Bentar kak. Eh... Kakak kan Gema Senja ya? Masih banyak perempuanlain yang jauh lebih cantik...pintar, berwawasan luas...",Gema Senja kan juga manusia Sal. Dia cuma butuh satu teman perjalanan yang tepat.
